Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
0 -260.80  286990.93 3085798.37 4.14 1 1
0 -261.26  286990.93 3085798.37 4.14 1 1
0 -261.72  286990.93 3085798.37 4.16 1 1
0 -262.19  286990.93 3085798.37 4.18 1 1
0 -262.65  286990.93 3085798.37 4.21 1 1
0 -263.13  286990.93 3085798.37 4.22 1 1
0 -263.61  286990.93 3085798.37 4.19 1 1
0 -263.95  286990.93 3085798.37 4.11 1 1
0 -264.29  286990.93 3085798.37 3.98 1 1
0 -264.79  286990.93 3085798.37 3.72 1 1
0 -265.29  286990.93 3085798.37 3.24 1 1
0 -265.79  286990.93 3085798.37 2.68 1 1
0 -266.29  286990.93 3085798.37 2.30 1 1
0 -266.79  286990.93 3085798.37 2.14 1 1
0 -267.29  286990.93 3085798.37 2.09 1 1
0 -267.79  286990.93 3085798.37 2.08 1 1
0 -268.29  286990.93 3085798.37 2.12 1 1
0 -268.79  286990.93 3085798.37 2.36 1 1
0 -269.29  286990.93 3085798.37 3.09 1 1
0 -269.79  286990.93 3085798.37 3.70 1 1
0 -270.29  286990.93 3085798.37 3.63 1 1
0 -270.79  286990.93 3085798.37 3.21 1 1
0 -271.29  286990.93 3085798.37 2.65 1 1
0 -271.79  286990.93 3085798.37 2.23 1 1
0 -272.29  286990.93 3085798.37 2.13 1 1
0 -272.79  286990.93 3085798.37 2.15 1 1
0 -273.29  286990.93 3085798.37 2.21 1 1
0 -273.79  286990.93 3085798.37 2.30 1 1
0 -274.29  286990.93 3085798.37 2.39 1 1
0 -274.79  286990.93 3085798.37 2.49 1 1
0 -275.29  286990.93 3085798.37 2.59 1 1
0 -275.79  286990.93 3085798.37 2.69 1 1
0 -276.29  286990.93 3085798.37 2.80 1 1
0 -276.79  286990.93 3085798.37 2.93 1 1
0 -277.29  286990.93 3085798.37 3.13 1 1
0 -277.79  286990.93 3085798.37 3.64 1 1
0 -278.29  286990.93 3085798.37 4.66 1 1
0 -278.79  286990.93 3085798.37 5.54 1 1
0 -279.29  286990.93 3085798.37 5.73 1 1
0 -279.79  286990.93 3085798.37 5.46 1 1
0 -280.29  286990.93 3085798.37 4.96 1 1
0 -280.79  286990.93 3085798.37 4.46 1 1
0 -281.29  286990.93 3085798.37 4.07 1 1
0 -281.79  286990.93 3085798.37 3.82 1 1
0 -282.29  286990.93 3085798.37 3.64 1 1
0 -282.79  286990.93 3085798.37 3.49 1 1
0 -283.29  286990.93 3085798.37 3.39 1 1
0 -283.79  286990.93 3085798.37 3.34 1 1
0 -284.29  286990.93 3085798.37 3.42 1 1
0 -284.79  286990.93 3085798.37 3.60 1 1
0 -285.29  286990.93 3085798.37 3.74 1 1
0 -285.79  286990.93 3085798.37 3.74 1 1
0 -286.29  286990.93 3085798.37 3.60 1 1
0 -286.79  286990.93 3085798.37 3.26 1 1
0 -287.29  286990.93 3085798.37 2.72 1 1
0 -287.78  286990.93 3085798.37 2.32 1 1
0 -288.28  286990.93 3085798.37 2.22 1 1
0 -288.78  286990.93 3085798.37 2.25 1 1
0 -289.28  286990.93 3085798.37 2.30 1 1
0 -289.78  286990.93 3085798.37 2.38 1 1
0 -290.28  286990.93 3085798.37 2.46 1 1
0 -290.78  286990.93 3085798.37 2.55 1 1
0 -291.28  286990.93 3085798.37 2.62 1 1
0 -291.78  286990.93 3085798.37 2.68 1 1
0 -292.28  286990.93 3085798.37 2.73 1 1
0 -292.78  286990.93 3085798.37 2.76 1 1
0 -293.28  286990.93 3085798.37 2.77 1 1
0 -293.78  286990.93 3085798.37 2.74 1 1
0 -294.28  286990.93 3085798.37 2.70 1 1
0 -294.78  286990.93 3085798.37 2.61 1 1
0 -295.28  286990.93 3085798.37 2.46 1 1
0 -295.78  286990.93 3085798.37 2.29 1 1
0 -296.28  286990.93 3085798.37 2.15 1 1
0 -296.78  286990.93 3085798.37 2.07 1 1
0 -297.28  286990.93 3085798.37 2.02 1 1
0 -297.78  286990.93 3085798.37 2.00 1 1
0 -298.28  286990.93 3085798.37 2.03 1 1
0 -298.78  286990.93 3085798.37 2.12 1 1
0 -299.28  286990.93 3085798.37 2.22 1 1
0 -299.78  286990.93 3085798.37 2.45 1 1
0 -300.28  286990.93 3085798.37 3.19 1 1
0 -300.78  286990.93 3085798.37 4.33 1 1
0 -301.28  286990.93 3085798.37 4.93 1 1
0 -301.78  286990.93 3085798.37 4.29 1 1
0 -302.28  286990.93 3085798.37 2.83 1 1
0 -302.78  286990.93 3085798.37 1.85 1 1
0 -303.28  286990.93 3085798.37 1.69 1 1
0 -303.78  286990.93 3085798.37 1.68 1 1
0 -304.28  286990.93 3085798.37 1.70 1 1
0 -304.78  286990.93 3085798.37 1.76 1 1
0 -305.28  286990.93 3085798.37 1.83 1 1
0 -305.78  286990.93 3085798.37 1.88 1 1
0 -306.28  286990.93 3085798.37 1.92 1 1
0 -306.78  286990.93 3085798.37 1.96 1 1
0 -307.28  286990.93 3085798.37 1.99 1 1
0 -307.78  286990.93 3085798.37 2.00 1 1
0 -308.28  286990.93 3085798.37 1.98 1 1
0 -308.78  286990.93 3085798.37 1.95 1 1
