Xpr(m)   Z(m)   X(m)  Y(m) V  Vx/zP  QP  
0 -260.70  287042.91 3085784.83 2.67 1 1
0 -260.95  287042.91 3085784.83 2.67 1 1
0 -261.20  287042.91 3085784.83 2.68 1 1
0 -261.45  287042.91 3085784.83 2.69 1 1
0 -261.71  287042.91 3085784.83 2.70 1 1
0 -261.96  287042.91 3085784.83 2.73 1 1
0 -262.21  287042.91 3085784.83 2.75 1 1
0 -262.46  287042.91 3085784.83 2.78 1 1
0 -262.71  287042.91 3085784.83 2.81 1 1
0 -262.94  287042.91 3085784.83 2.85 1 1
0 -263.16  287042.91 3085784.83 2.89 1 1
0 -263.39  287042.91 3085784.83 2.93 1 1
0 -263.61  287042.91 3085784.83 2.98 1 1
0 -263.86  287042.91 3085784.83 3.02 1 1
0 -264.11  287042.91 3085784.83 3.07 1 1
0 -264.36  287042.91 3085784.83 3.12 1 1
0 -264.61  287042.91 3085784.83 3.18 1 1
0 -264.83  287042.91 3085784.83 3.24 1 1
0 -265.06  287042.91 3085784.83 3.31 1 1
0 -265.28  287042.91 3085784.83 3.40 1 1
0 -265.50  287042.91 3085784.83 3.50 1 1
0 -265.71  287042.91 3085784.83 3.62 1 1
0 -265.92  287042.91 3085784.83 3.74 1 1
0 -266.14  287042.91 3085784.83 3.88 1 1
0 -266.35  287042.91 3085784.83 4.02 1 1
0 -266.67  287042.91 3085784.83 4.11 1 1
0 -266.99  287042.91 3085784.83 4.15 1 1
0 -267.30  287042.91 3085784.83 4.10 1 1
0 -267.61  287042.91 3085784.83 3.96 1 1
0 -267.93  287042.91 3085784.83 3.72 1 1
0 -268.25  287042.91 3085784.83 3.45 1 1
0 -268.62  287042.91 3085784.83 3.15 1 1
0 -268.99  287042.91 3085784.83 2.87 1 1
0 -269.30  287042.91 3085784.83 2.61 1 1
0 -269.61  287042.91 3085784.83 2.41 1 1
0 -269.93  287042.91 3085784.83 2.27 1 1
0 -270.25  287042.91 3085784.83 2.20 1 1
0 -270.62  287042.91 3085784.83 2.19 1 1
