Z	X	Z2	Grid Value
0	60	0	
0.1	60	-0.1	
0.2	60	-0.2	
0.3	60	-0.3	
0.4	60	-0.4	
0.5	60	-0.5	
0.6	60	-0.6	
0.7	60	-0.7	
0.8	60	-0.8	
0.9	60	-0.9	
1	60	-1	1.28
1.1	60	-1.1	1.283
1.2	60	-1.2	1.286
1.3	60	-1.3	1.289
1.4	60	-1.4	1.292
1.5	60	-1.5	1.295
1.6	60	-1.6	1.298
1.7	60	-1.7	1.301
1.8	60	-1.8	1.304
1.9	60	-1.9	1.307
2	60	-2	1.31
2.1	60	-2.1	1.312
2.2	60	-2.2	1.314
2.3	60	-2.3	1.316
2.4	60	-2.4	1.318
2.5	60	-2.5	1.32
2.6	60	-2.6	1.322
2.7	60	-2.7	1.324
2.8	60	-2.8	1.326
2.9	60	-2.9	1.328
3	60	-3	1.33
3.1	60	-3.1	1.331
3.2	60	-3.2	1.332
3.3	60	-3.3	1.333
3.4	60	-3.4	1.334
3.5	60	-3.5	1.335
3.6	60	-3.6	1.336
3.7	60	-3.7	1.337
3.8	60	-3.8	1.338
3.9	60	-3.9	1.339
4	60	-4	1.34
4.1	60	-4.1	1.34
4.2	60	-4.2	1.34
4.3	60	-4.3	1.34
4.4	60	-4.4	1.34
4.5	60	-4.5	1.34
4.6	60	-4.6	1.34
4.7	60	-4.7	1.34
4.8	60	-4.8	1.34
4.9	60	-4.9	1.34
5	60	-5	1.34
5.1	60	-5.1	1.34
5.2	60	-5.2	1.34
5.3	60	-5.3	1.34
5.4	60	-5.4	1.34
5.5	60	-5.5	1.34
5.6	60	-5.6	1.34
5.7	60	-5.7	1.34
5.8	60	-5.8	1.34
5.9	60	-5.9	1.34
6	60	-6	1.34
6.1	60	-6.1	1.342
6.2	60	-6.2	1.344
6.3	60	-6.3	1.346
6.4	60	-6.4	1.348
6.5	60	-6.5	1.35
6.6	60	-6.6	1.352
6.7	60	-6.7	1.354
6.8	60	-6.8	1.356
6.9	60	-6.9	1.358
7	60	-7	1.36
7.1	60	-7.1	1.361
7.2	60	-7.2	1.362
7.3	60	-7.3	1.363
7.4	60	-7.4	1.364
7.5	60	-7.5	1.365
7.6	60	-7.6	1.366
7.7	60	-7.7	1.367
7.8	60	-7.8	1.368
7.9	60	-7.9	1.369
8	60	-8	1.37
8.1	60	-8.1	1.372
8.2	60	-8.2	1.374
8.3	60	-8.3	1.376
8.4	60	-8.4	1.378
8.5	60	-8.5	1.38
8.6	60	-8.6	1.382
8.7	60	-8.7	1.384
8.8	60	-8.8	1.386
8.9	60	-8.9	1.388
9	60	-9	1.39
9.1	60	-9.1	1.39
9.2	60	-9.2	1.39
9.3	60	-9.3	1.39
9.4	60	-9.4	1.39
9.5	60	-9.5	1.39
9.6	60	-9.6	1.39
9.7	60	-9.7	1.39
9.8	60	-9.8	1.39
9.9	60	-9.9	1.39
10	60	-10	1.39
10.1	60	-10.1	1.39
10.2	60	-10.2	1.39
10.3	60	-10.3	1.39
10.4	60	-10.4	1.39
10.5	60	-10.5	1.39
10.6	60	-10.6	1.39
10.7	60	-10.7	1.39
10.8	60	-10.8	1.39
10.9	60	-10.9	1.39
11	60	-11	1.39
11.1	60	-11.1	1.392
11.2	60	-11.2	1.394
11.3	60	-11.3	1.396
11.4	60	-11.4	1.398
11.5	60	-11.5	1.4
11.6	60	-11.6	1.402
11.7	60	-11.7	1.404
11.8	60	-11.8	1.406
11.9	60	-11.9	1.408
12	60	-12	1.41
12.1	60	-12.1	1.412
12.2	60	-12.2	1.414
12.3	60	-12.3	1.416
12.4	60	-12.4	1.418
12.5	60	-12.5	1.42
12.6	60	-12.6	1.422
12.7	60	-12.7	1.424
12.8	60	-12.8	1.426
12.9	60	-12.9	1.428
13	60	-13	1.43
13.1	60	-13.1	1.432
13.2	60	-13.2	1.434
13.3	60	-13.3	1.436
13.4	60	-13.4	1.438
13.5	60	-13.5	1.44
13.6	60	-13.6	1.442
13.7	60	-13.7	1.444
13.8	60	-13.8	1.446
13.9	60	-13.9	1.448
14	60	-14	1.45
14.1	60	-14.1	1.452
14.2	60	-14.2	1.454
14.3	60	-14.3	1.456
14.4	60	-14.4	1.458
14.5	60	-14.5	1.46
14.6	60	-14.6	1.462
14.7	60	-14.7	1.464
14.8	60	-14.8	1.466
14.9	60	-14.9	1.468
15	60	-15	1.47
15.1	60	-15.1	1.473
15.2	60	-15.2	1.476
15.3	60	-15.3	1.479
15.4	60	-15.4	1.482
15.5	60	-15.5	1.485
15.6	60	-15.6	1.488
15.7	60	-15.7	1.491
15.8	60	-15.8	1.494
15.9	60	-15.9	1.497
16	60	-16	1.5
16.1	60	-16.1	1.503
16.2	60	-16.2	1.506
16.3	60	-16.3	1.509
16.4	60	-16.4	1.512
16.5	60	-16.5	1.515
16.6	60	-16.6	1.518
16.7	60	-16.7	1.521
16.8	60	-16.8	1.524
16.9	60	-16.9	1.527
17	60	-17	1.53
17.1	60	-17.1	1.534
17.2	60	-17.2	1.538
17.3	60	-17.3	1.542
17.4	60	-17.4	1.546
17.5	60	-17.5	1.55
17.6	60	-17.6	1.554
17.7	60	-17.7	1.558
17.8	60	-17.8	1.562
17.9	60	-17.9	1.566
18	60	-18	1.57
18.1	60	-18.1	1.576
18.2	60	-18.2	1.582
18.3	60	-18.3	1.588
18.4	60	-18.4	1.594
18.5	60	-18.5	1.6
18.6	60	-18.6	1.606
18.7	60	-18.7	1.612
18.8	60	-18.8	1.618
18.9	60	-18.9	1.624
19	60	-19	1.63
19.1	60	-19.1	1.635
19.2	60	-19.2	1.64
19.3	60	-19.3	1.645
19.4	60	-19.4	1.65
19.5	60	-19.5	1.655
19.6	60	-19.6	1.66
19.7	60	-19.7	1.665
19.8	60	-19.8	1.67
19.9	60	-19.9	1.675
20	60	-20	1.68
20.1	60	-20.1	1.684
20.2	60	-20.2	1.688
