X Z V VxVz
42 -200 2.37 1.08
42 -199 2.37 1.08
42 -198 2.37 1.08
42 -197 2.37 1.08
42 -196 2.37 1.08
42 -195 2.37 1.08
42 -194 2.37 1.08
42 -193 2.37 1.08
42 -192 2.37 1.08
42 -191 2.37 1.08
42 -190 2.37 1.08
42 -189 2.37 1.08
42 -188 2.37 1.08
42 -187 2.37 1.08
42 -186 2.37 1.08
42 -185 2.37 1.08
42 -184 2.37 1.08
42 -183 2.37 1.08
42 -182 2.37 1.08
42 -181 2.37 1.08
42 -180 2.37 1.08
42 -179 2.37 1.08
42 -178 2.37 1.08
42 -177 2.37 1.08
42 -176 2.37 1.08
42 -175 2.37 1.08
42 -174 2.37 1.08
42 -173 2.37 1.080000002
42 -172 2.37 1.080000016
42 -171 2.369999997 1.080000107
42 -170 2.369999982 1.080000559
42 -169 2.369999909 1.080002355
42 -168 2.369999607 1.080008369
42 -167 2.369998525 1.080026214
42 -166 2.369995136 1.080076735
42 -165 2.369985831 1.080198504
42 -164 2.369963472 1.080441584
42 -163 2.369916655 1.080864333
42 -162 2.369832082 1.081509863
42 -161 2.369703204 1.082433019
42 -160 2.369546037 1.083596766
42 -159 2.369416095 1.084942182
42 -158 2.369411697 1.086390972
42 -157 2.369649181 1.087873307
42 -156 2.370217096 1.089351357
42 -155 2.371163213 1.090827613
42 -154 2.372595314 1.092333304
42 -153 2.374936509 1.09390218
42 -152 2.379246027 1.095552414
42 -151 2.38738351 1.09724268
42 -150 2.40174186 1.098858524
42 -149 2.424323761 1.100353909
42 -148 2.455126399 1.101789993
42 -147 2.48991745 1.103328628
42 -146 2.520013268 1.105143649
42 -145 2.538692433 1.107363302
42 -144 2.545908553 1.10963979
42 -143 2.546834623 1.111733483
42 -142 2.545438464 1.113466653
42 -141 2.540025324 1.114539216
42 -140 2.526388484 1.115213623
42 -139 2.50685319 1.115211292
42 -138 2.487992811 1.114544864
42 -137 2.472866853 1.113975203
42 -136 2.458958362 1.113571162
42 -135 2.442479693 1.113116008
42 -134 2.421136371 1.112672652
42 -133 2.40248029 1.112511299
42 -132 2.403085054 1.112651879
42 -131 2.438669895 1.113268751
42 -130 2.488023715 1.114564353
42 -129 2.525307626 1.116633193
42 -128 2.537624339 1.119475733
42 -127 2.523655765 1.122946817
42 -126 2.509999902 1.126903399
42 -125 2.516090968 1.130857153
42 -124 2.544036349 1.134142873
42 -123 2.571043713 1.135887516
42 -122 2.576155107 1.135830647
42 -121 2.543061806 1.134379965
42 -120 2.518502161 1.132615474
42 -119 2.5 1.13153578
42 -118 2.51 1.13175575
42 -117 2.54 1.1333883
42 -116 2.56 1.136187648
42 -115 2.57 1.139734576
42 -114 2.55 1.143593102
42 -113 2.52 1.147476566
42 -112 2.49 1.151252205
42 -111 2.47 1.15489292
42 -110 2.47 1.158406991
42 -109 2.51 1.161729115
42 -108 2.55 1.164622817
42 -107 2.54 1.166943403
42 -106 2.47 1.168960151
42 -105 2.41 1.171378936
42 -104 2.41 1.174518251
42 -103 2.46 1.177950581
42 -102 2.49 1.180924719
42 -101 2.46 1.183145578
42 -100 2.43 1.184969962
42 -99 2.43 1.186596326
42 -98 2.43 1.187554106
42 -97 2.38 1.187380567
42 -96 2.29 1.186640135
42 -95 2.26 1.186950293
42 -94 2.3 1.18958217
42 -93 2.37 1.194462904
42 -92 2.43 1.200104895
42 -91 2.43 1.204829778
42 -90 2.39 1.207640644
42 -89 2.34 1.208494043
42 -88 2.28 1.207937433
42 -87 2.21 1.206797939
42 -86 2.16 1.206011333
42 -85 2.15 1.206279945
42 -84 2.16 1.207800711
42 -83 2.2 1.210146492
42 -82 2.22 1.212756362
42 -81 2.21 1.215274757
42 -80 2.18 1.217666456
42 -79 2.17 1.21966732
42 -78 2.17 1.220587358
42 -77 2.15 1.219415367
42 -76 2.11 1.215424129
42 -75 2.09 1.208488541
42 -74 2.07 1.199309393
42 -73 2.02 1.189335154
42 -72 1.96 1.18036528
42 -71 1.94 1.173737075
42 -70 1.94 1.169749281
42 -69 1.96 1.167792329
42 -68 1.97 1.167008705
42 -67 1.99 1.166698289
42 -66 2.02 1.166386845
42 -65 2.04 1.165690684
42 -64 2.05 1.164489127
42 -63 2.03 1.162898689
42 -62 1.99 1.161211584
42 -61 1.97 1.159523861
42 -60 1.96 1.157773304
42 -59 1.96 1.155871268
42 -58 1.97 1.154072532
42 -57 1.98 1.152876579
42 -56 2 1.152784282
42 -55 2.01 1.153828292
42 -54 2 1.15555535
42 -53 1.98 1.157280248
42 -52 1.96 1.158634622
42 -51 1.96 1.159721875
42 -50 1.98 1.160882657
42 -49 2.01 1.16208879
42 -48 2.02 1.162882132
42 -47 2 1.162756927
42 -46 1.96 1.16167132
42 -45 1.95 1.159924568
42 -44 1.96 1.157593698
42 -43 1.95 1.154564713
42 -42 1.93 1.15075087
42 -41 1.91 1.146686
42 -40 1.92 1.142919257
42 -39 1.96 1.139845383
42 -38 1.98 1.137214741
42 -37 1.99 1.134827361
42 -36 1.98 1.13246749
