X  Z  V  Vxz
0  -200  2.43381289  1.048067817
1  -200  2.43381289  1.048067344
2  -200  2.43381289  1.048067281
3  -200  2.43381289  1.048067293
4  -200  2.43381289  1.048067635
5  -200  2.434199383  1.048067349
6  -200  2.435026978  1.048067323
7  -200  2.434669048  1.048067331
8  -200  2.434401636  1.048067333
9  -200  2.436548822  1.048067333
10  -200  2.435970017  1.048067333
11  -200  2.437140404  1.048067331
12  -200  2.437384937  1.048068153
13  -200  2.437474715  1.048067571
14  -200  2.4376092  1.048067796
15  -200  2.437757029  1.048067613
16  -200  2.437904912  1.048067623
17  -200  2.438051077  1.04806762
18  -200  2.435919936  1.048067607
19  -200  2.436876639  1.048067591
20  -200  2.43381289  1.048067573
21  -200  2.43381289  1.048067535
22  -200  2.43381289  1.048067534
23  -200  2.43381289  1.048068149
24  -200  2.43381289  1.048068078
25  -200  2.43381289  1.048068087
26  -200  2.43381289  1.048071504
27  -200  2.43381289  1.048071897
28  -200  2.43381289  1.048072185
29  -200  2.43381289  1.048072471
30  -200  2.43381289  1.048070542
31  -200  2.43381289  1.048071786
32  -200  2.43381289  1.048072104
33  -200  2.43381289  1.04807239
34  -200  2.43381289  1.048072676
35  -200  2.43381289  1.048072961
36  -200  2.43381289  1.048073247
37  -200  2.43381289  1.048073496
38  -200  2.438081528  1.048073221
39  -200  2.43820371  1.048073014
40  -200  2.438325893  1.048073221
0  -199  2.43381289  1.048067672
1  -199  2.43381289  1.048067107
2  -199  2.43381289  1.048066975
3  -199  2.43381289  1.04806698
4  -199  2.43381289  1.04806699
5  -199  2.43381289  1.048067082
6  -199  2.43381289  1.048067014
7  -199  2.43381289  1.048067021
8  -199  2.434502818  1.048067033
9  -199  2.436833402  1.048068313
10  -199  2.43620516  1.048068547
11  -199  2.437370611  1.04806874
12  -199  2.437592076  1.048068234
13  -199  2.437686389  1.048067303
14  -199  2.43783728  1.048067415
15  -199  2.438007525  1.048067316
16  -199  2.438178906  1.048067314
17  -199  2.438348177  1.048067318
18  -199  2.436161268  1.048067319
19  -199  2.437107465  1.048067319
20  -199  2.43381289  1.048067319
21  -199  2.43381289  1.048067316
22  -199  2.43381289  1.048067342
23  -199  2.43381289  1.048068759
24  -199  2.43381289  1.0480689
25  -199  2.43381289  1.048068871
26  -199  2.43381289  1.048071104
27  -199  2.43381289  1.048071476
28  -199  2.43381289  1.048071742
29  -199  2.43381289  1.048071991
30  -199  2.43381289  1.048070475
31  -199  2.43381289  1.048071371
32  -199  2.43381289  1.048071667
33  -199  2.43381289  1.048071921
34  -199  2.43381289  1.048072169
35  -199  2.438005316  1.048072418
36  -199  2.438150564  1.048072667
37  -199  2.438295428  1.048072882
38  -199  2.438440198  1.04807262
39  -199  2.438584951  1.048072044
40  -199  2.436434784  1.048072893
0  -198  2.43381289  1.048067471
1  -198  2.43381289  1.048067455
2  -198  2.43381289  1.04806681
3  -198  2.43381289  1.048066779
4  -198  2.43381289  1.048066757
5  -198  2.43381289  1.048067161
6  -198  2.43381289  1.048066818
7  -198  2.43381289  1.048066795
8  -198  2.43381289  1.04806876
9  -198  2.43381289  1.048068804
10  -198  2.435983579  1.048068763
11  -198  2.437264661  1.048068689
12  -198  2.437684532  1.048068608
13  -198  2.437831187  1.04806833
14  -198  2.437994943  1.048067081
15  -198  2.438184716  1.048067047
16  -198  2.438376877  1.048068535
